ID;Obra;ApellAutor;NomAutor;Tonalidad;Opus;Duracion
274;Concierto para trompeta y orquesta;Torelli; Giuseppe;Re M;7' 19;
275;Concierto para 2 violines, orquesta de cuerda;Bach; Johann Sebastian;BWV 1060;14' 57;
276;Concierto para trompeta y orquesta n. 2;Albinoni; Tomaso;Re m;13' 51;
277;Capricho Italiano;Tchaikovsky; Piotr Ilyich;45;16' 39;
278;Vals Sangre Vienesa;Strauss; Johann (Hijo);354;8' 07;
279;Concierto para Cuerno y orquesta en Mi b Mayor;Mozart; Wolfgang Amadeus;K 495;16' 11;
280;Sinfonia n. 9 “La grande”;Schubert; Franz;Do M;D 944;61' 55
281;Polonesa - Fantasia;Chopin; Frederic;La b M;61;13' 05
282;Rapsodia espagnola;Ravel; Maurice;14' 57;;
283;Romanzas sin palabaras;Mendelssohn-Bartholdy; Felix;62;12' 50;
284;Variaciones sobre un tema original “Enigma”.;Elgar; Edward;36;30' 46;
285;Danza de los sables (Gayane);Khachaturian; Aram;2' 36;;
286;Nocturno n. 18;Chopin; Frederic;Mi M;62 / 2;6' 11
287;Chiquilin;Piazzola; Astor;3' 28;;
288;Vals Las hojas del amanecer;Strauss; Johann (Hijo);279;5' 43;
289;Vals Cancion de amor;Strauss; Johann (Hijo);114;4' 07;
290;Serenata;Falla; Manuel de;3' 51;;
291;Danzas Eslavas;Dvorak; Antonin;46;39' 30;
292;Sexteto para cuerda “Souvenir de florencia”;Tchaikovsky; Piotr Ilyich;70;34' 42;
293;Polonesa n. 6 “Heroica”;Chopin; Frederic;La b M;53;6' 26
294;Sonata para clavicembalo;Scarlatti; Domenico;K 478;3' 44;
295;Obertura solemne 1812;Tchaikovsky; Piotr Ilyich;490;15' 31;
296;Idilio;Suk; Josep;7 / 4 a;4' 10;
297;Danza hungara n. 19;Brahms; Johannes;1' 59;;
298;Preludio;Rachmaninov; Sergei;Fa # m;23-ene;4' 38
299;Truenos y relampagos;Strauss; Johann (Hijo);324;3' 14;
300;La tumba de Couperin;Ravel; Maurice;17' 32;;
301;Sinfonia n. 2;Elgar; Edward;Mi b M;63;59' 00
302;Pieza en forma de habanera;Ravel; Maurice;2' 31;;
303;Khovanshchina;Mussorgsky; Modest;30' 13;;
304;El amor brujo;Falla; Manuel de;25' 03;;
305;Danza hungara n. 5;Brahms; Johannes;2' 34;;
306;Vals n. 1. “Gran vals brillante”;Chopin; Frederic;Mi b M;18;5' 08
307;Danza hungara n. 18;Brahms; Johannes;1' 29;;
308;Sonata para clavicembalo;Scarlatti; Domenico;Re m;K 213;3' 44
309;Romanzas sin palabaras;Mendelssohn-Bartholdy; Felix;30;15' 34;
310;Melodia;Bloch; Ernest;2' 44;;
311;Danza Pomposa;Tansman; Alexandre;2' 53;;
312;Sinfonia n. 1;Elgar; Edward;La b M;55;53' 42
313;Sonata para clavicembalo;Scarlatti; Domenico;K 454;2' 38;
314;Suite Andina;Barrios; Agustin;12' 35;;
315;Obertura de La traviata.;Verdi; Giuseppe;3' 42;;
316;Cancion en la noche;Salzedo; Carlos;3' 12;;
317;Sarita (Mazurca);Barrios; Agustin;3' 35;;
318;Suite Bergamasque;Debussy; Claude;16' 13;;
319;Tres movimientos de “suite Lirica”;Berg; Alban;17' 21;;
320;Sinfonia n. 3;Brahms; Johannes;Fa M;90;35' 23
321;Sinfonia n. 99;Haydn; Franz Joseph;Mi b M;23' 34;
322;Danza hungara n. 9;Brahms; Johannes;2' 09;;
323;Concierto para oboe y orquesta;Haydn; Franz Joseph;Do M;21' 28;
324;El vals;Ravel; Maurice;12' 38 ;;
325;Requiem para solistas, coro y orquesta;Mozart; Wolfgang Amadeus;K 626;53' 56;
326;12 Preludios - 1º libro.;Debussy; Claude;25' 58;;
327;Quinteto n. 5 para dos violines, alto, dos violonchelos;Boccherini; Luigi;Mi M;13-may;21' 52
328;Sinfonia n. 4 “Romantica”;Bruckner; Anton;Mi b M;61' 20;
329;Nocturno;Tchaikovsky; Piotr Ilyich;Fa M;010 / 1;4'04
330;Psalm 55, 2-8. Hyme “Hor mein Bitten”;Mendelssohn-Bartholdy; Felix; ;9' 58;
